Accession	Log_likelihood	GC	Sc	St
Mycoplasma_pneumoniae_DNA_BAV20702.1	-189.3	-0.3492	-0.0892	-0.5135
Mycoplasma_pneumoniae_DNA_BAV20328.1	-94.8	-0.3492	0.0402	-0.4792
Mycoplasma_pneumoniae_DNA_BAV20342.1	-885.6	-0.3492	-0.0466	-0.0165
Mycoplasma_pneumoniae_DNA_BAV20787.1	-220.4	-0.3492	-0.276	0.6281
Mycoplasma_pneumoniae_DNA_BAV20320.1	-80.4	-0.3492	-0.0841	-0.4668
Mycoplasma_pneumoniae_DNA_BAV20453.1	-165.4	-0.3492	-0.3259	0.4737
Mycoplasma_pneumoniae_DNA_BAV20740.1	-182.1	-0.3492	-0.1818	0.6937
Mycoplasma_pneumoniae_DNA_BAV20704.1	-62.8	-0.3492	-0.2568	0.1647
Mycoplasma_pneumoniae_DNA_BAV20457.1	-103.9	-0.3492	-0.3457	0.7804
Mycoplasma_pneumoniae_DNA_BAV20612.1	-76.5	-0.3492	-0.1903	0.0437
Mycoplasma_pneumoniae_DNA_BAV20596.1	-702.2	-0.3492	-0.1538	0.2393
Mycoplasma_pneumoniae_DNA_BAV20744.1	-256.9	-0.3492	-0.089	-0.4
Mycoplasma_pneumoniae_DNA_BAV20833.1	-200.8	-0.3492	-0.2287	-0.0628
Mycoplasma_pneumoniae_DNA_BAV20873.1	-908.5	-0.3492	-0.0868	-0.1083
Mycoplasma_pneumoniae_DNA_BAV20742.1	-524.5	-0.3492	0.02	-0.4785
Mycoplasma_pneumoniae_DNA_BAV20821.1	-147.8	-0.3492	-0.141	-0.0866
Mycoplasma_pneumoniae_DNA_BAV20417.1	-307.8	-0.3492	-0.1927	0.3526
Mycoplasma_pneumoniae_DNA_BAV20829.1	-353.2	-0.3492	-0.0652	-0.0022
Mycoplasma_pneumoniae_DNA_BAV20411.1	-84.1	-0.3492	-0.1606	0.9601
Mycoplasma_pneumoniae_DNA_BAV20409.1	-247.0	-0.3492	-0.0668	-0.1412
Mycoplasma_pneumoniae_DNA_BAV20766.1	-76.0	-0.3492	0.2277	-0.7068
Mycoplasma_pneumoniae_DNA_BAV20455.1	-220.7	-0.3492	-0.2638	1.2668
Mycoplasma_pneumoniae_DNA_BAV20318.1	-170.8	-0.3492	-0.2007	0.3215
Mycoplasma_pneumoniae_DNA_BAV20589.1	-748.6	-0.3492	0.0113	-0.2122
Mycoplasma_pneumoniae_DNA_BAV20785.1	-65.3	-0.3492	-0.0506	0.5091
Mycoplasma_pneumoniae_DNA_BAV20794.1	-339.4	-0.3492	-0.1753	0.0402
Mycoplasma_pneumoniae_DNA_BAV20322.1	-891.7	-0.3492	-0.1288	-0.0779
Mycoplasma_pneumoniae_DNA_BAV20449.1	-302.2	-0.3492	-0.2366	0.261
Mycoplasma_pneumoniae_DNA_BAV20877.1	-77.0	-0.3492	-0.3449	0.8908
Mycoplasma_pneumoniae_DNA_BAV20768.1	-421.9	-0.3492	-0.171	0.1534
Mycoplasma_pneumoniae_DNA_BAV20304.1	-228.6	-0.3492	0.0674	-0.2814
Mycoplasma_pneumoniae_DNA_BAV20639.1	-129.2	-0.3492	0.2158	-0.2165
Mycoplasma_pneumoniae_DNA_BAV20875.1	-99.6	-0.3492	-0.1628	0.7271
Mycoplasma_pneumoniae_DNA_BAV20415.1	-369.8	-0.3492	-0.1701	0.3706
Mycoplasma_pneumoniae_DNA_BAV20401.1	-210.3	-0.3492	-0.1778	-0.0017
Mycoplasma_pneumoniae_DNA_BAV20798.1	-601.5	-0.3492	-0.1214	-0.0609
Mycoplasma_pneumoniae_DNA_BAV20326.1	-512.3	-0.3492	-0.1731	0.1624
Mycoplasma_pneumoniae_DNA_BAV20779.1	-137.5	-0.3492	-0.2051	-0.0636
Mycoplasma_pneumoniae_DNA_BAV20861.1	-778.8	-0.3492	-0.0934	-0.2099
Mycoplasma_pneumoniae_DNA_BAV20437.1	-928.0	-0.3492	-0.1518	0.1058
Mycoplasma_pneumoniae_DNA_BAV20764.1	-232.1	-0.3492	0.0084	0.3023
Mycoplasma_pneumoniae_DNA_BAV20302.1	-171.2	-0.3492	0.0328	0.5449
Mycoplasma_pneumoniae_DNA_BAV20781.1	-336.8	-0.3492	-0.0937	-0.3904
Mycoplasma_pneumoniae_DNA_BAV20324.1	-378.2	-0.3492	-0.2406	0.1669
Mycoplasma_pneumoniae_DNA_BAV20472.1	-226.9	-0.3492	-0.1391	-0.0267
Mycoplasma_pneumoniae_DNA_BAV20435.1	-311.1	-0.3492	-0.2882	0.556
Mycoplasma_pneumoniae_DNA_BAV20407.1	-177.7	-0.3492	-0.1616	0.5824
Mycoplasma_pneumoniae_DNA_BAV20796.1	-283.5	-0.3492	-0.1743	-0.2409
Mycoplasma_pneumoniae_DNA_BAV20783.1	-173.9	-0.3492	-0.2036	0.2138
Mycoplasma_pneumoniae_DNA_BAV20762.1	-960.7	-0.3492	-0.1281	-0.0378
Mycoplasma_pneumoniae_DNA_BAV20865.1	-251.7	-0.3492	-0.0731	-0.1787
Mycoplasma_pneumoniae_DNA_BAV20306.1	-139.7	-0.3492	-0.0722	0.244
Mycoplasma_pneumoniae_DNA_BAV20431.1	-126.6	-0.3492	-0.0187	0.2642
Mycoplasma_pneumoniae_DNA_BAV20904.1	-110.3	-0.3492	-0.0911	-0.6129
Mycoplasma_pneumoniae_DNA_BAV20867.1	-345.1	-0.3492	-0.1674	0.107
Mycoplasma_pneumoniae_DNA_BAV20439.1	-153.3	-0.3492	-0.1267	0.2828
Mycoplasma_pneumoniae_DNA_BAV20403.1	-170.4	-0.3492	-0.1379	0.0689
Mycoplasma_pneumoniae_DNA_BAV20300.1	-221.8	-0.3492	-0.0979	-0.0162
Mycoplasma_pneumoniae_DNA_BAV20903.1	-141.5	-0.3492	-0.0622	0.03
Mycoplasma_pneumoniae_DNA_BAV20604.1	-157.9	-0.3492	-0.0049	-0.3068
Mycoplasma_pneumoniae_DNA_BAV20405.1	-138.5	-0.3492	-0.1592	0.5848
Mycoplasma_pneumoniae_DNA_BAV20819.1	-593.3	-0.3492	-0.3107	0.5209
Mycoplasma_pneumoniae_DNA_BAV20807.1	-278.5	-0.3492	-0.1255	0.0287
Mycoplasma_pneumoniae_DNA_BAV20425.1	-358.8	-0.3492	-0.2186	0.0499
Mycoplasma_pneumoniae_DNA_BAV20433.1	-1037.5	-0.3492	-0.2083	0.3333
Mycoplasma_pneumoniae_DNA_BAV20809.1	-214.7	-0.3492	-0.326	0.2293
Mycoplasma_pneumoniae_DNA_BAV20308.1	-266.7	-0.3492	0.1205	-0.4297
Mycoplasma_pneumoniae_DNA_BAV20760.1	-356.0	-0.3492	-0.0888	0.1354
Mycoplasma_pneumoniae_DNA_BAV20448.1	-201.3	-0.3492	-0.2113	0.4344
Mycoplasma_pneumoniae_DNA_BAV20514.1	-83.0	-0.3492	-0.0533	0.2011
Mycoplasma_pneumoniae_DNA_BAV20423.1	-844.1	-0.3492	-0.1935	0.2371
Mycoplasma_pneumoniae_DNA_BAV20600.1	-182.4	-0.3492	-0.1333	0.5605
Mycoplasma_pneumoniae_DNA_BAV20817.1	-597.9	-0.3492	-0.1212	-0.1935
Mycoplasma_pneumoniae_DNA_BAV20648.1	-148.0	-0.3492	-0.0789	0.2442
Mycoplasma_pneumoniae_DNA_BAV20584.1	-520.5	-0.3492	-0.294	0.4544
Mycoplasma_pneumoniae_DNA_BAV20793.1	-358.3	-0.3492	-0.0323	-0.2627
Mycoplasma_pneumoniae_DNA_BAV20516.1	-458.2	-0.3492	-0.0362	-0.5279
Mycoplasma_pneumoniae_DNA_BAV20926.1	-801.5	-0.3492	-0.2284	0.0523
Mycoplasma_pneumoniae_DNA_BAV20602.1	-341.7	-0.3492	0.0144	-0.1354
Mycoplasma_pneumoniae_DNA_BAV20719.1	-62.3	-0.3492	-0.4924	0.2271
Mycoplasma_pneumoniae_DNA_BAV20427.1	-244.4	-0.3492	0.1239	-0.2843
Mycoplasma_pneumoniae_DNA_BAV20855.1	-347.3	-0.3492	-0.0264	-0.1376
Mycoplasma_pneumoniae_DNA_BAV20835.1	-481.1	-0.3492	-0.1701	-0.2086
Mycoplasma_pneumoniae_DNA_BAV20898.1	-299.3	-0.3492	-0.0424	-0.2939
Mycoplasma_pneumoniae_DNA_BAV20421.1	-658.0	-0.3492	-0.1418	0.1924
Mycoplasma_pneumoniae_DNA_BAV20888.1	-170.6	-0.3492	0.054	-0.0659
Mycoplasma_pneumoniae_DNA_BAV20441.1	-164.0	-0.3492	0.0362	-0.1453
Mycoplasma_pneumoniae_DNA_BAV20849.1	-552.3	-0.3492	-0.1105	-0.0707
Mycoplasma_pneumoniae_DNA_BAV20622.1	-385.1	-0.3492	-0.0455	-0.1582
Mycoplasma_pneumoniae_DNA_BAV20289.1	-728.8	-0.3492	-0.0221	-0.2544
Mycoplasma_pneumoniae_DNA_BAV20942.1	-255.6	-0.3492	-0.17	0.3632
Mycoplasma_pneumoniae_DNA_BAV20891.1	-398.1	-0.3492	-0.2419	0.1254
Mycoplasma_pneumoniae_DNA_BAV20825.1	-118.7	-0.3492	-0.1919	-0.0726
Mycoplasma_pneumoniae_DNA_BAV20718.1	-212.5	-0.3492	0.0492	-0.3784
Mycoplasma_pneumoniae_DNA_BAV20827.1	-284.5	-0.3492	-0.1256	0.0287
Mycoplasma_pneumoniae_DNA_BAV20512.1	-115.8	-0.3492	-0.0301	0.0358
Mycoplasma_pneumoniae_DNA_BAV20529.1	-132.7	-0.3492	-0.0129	0.1491
Mycoplasma_pneumoniae_DNA_BAV20879.1	-188.1	-0.3492	-0.0981	0.3232
Mycoplasma_pneumoniae_DNA_BAV20532.1	-235.5	-0.3492	-0.1371	0.0093
Mycoplasma_pneumoniae_DNA_BAV20626.1	-444.6	-0.3492	-0.295	0.6224
Mycoplasma_pneumoniae_DNA_BAV20871.1	-753.0	-0.3492	-0.0672	-0.0172
Mycoplasma_pneumoniae_DNA_BAV20480.1	-252.7	-0.3492	-0.0922	-0.5535
Mycoplasma_pneumoniae_DNA_BAV20823.1	-378.2	-0.3492	-0.1476	-0.0043
Mycoplasma_pneumoniae_DNA_BAV20530.1	-297.0	-0.3492	-0.1821	0.0807
Mycoplasma_pneumoniae_DNA_BAV20459.1	-509.2	-0.3492	-0.2228	0.0985
Mycoplasma_pneumoniae_DNA_BAV20938.1	-381.2	-0.3492	-0.1481	0.1252
Mycoplasma_pneumoniae_DNA_BAV20518.1	-115.6	-0.3492	-0.0783	0.0179
Mycoplasma_pneumoniae_DNA_BAV20902.1	-141.8	-0.3492	-0.1875	0.3028
Mycoplasma_pneumoniae_DNA_BAV20710.1	-294.1	-0.3492	0.0016	-0.2714
Mycoplasma_pneumoniae_DNA_BAV20484.1	-389.9	-0.3492	-0.0445	0.1013
Mycoplasma_pneumoniae_DNA_BAV20382.1	-305.6	-0.3492	0.0333	-0.3482
Mycoplasma_pneumoniae_DNA_BAV20527.1	-61.8	-0.3492	-0.4031	0.6311
Mycoplasma_pneumoniae_DNA_BAV20510.1	-158.3	-0.3492	-0.2668	0.0611
Mycoplasma_pneumoniae_DNA_BAV20893.1	-223.3	-0.3492	-0.1323	0.1637
Mycoplasma_pneumoniae_DNA_BAV20906.1	-362.8	-0.3492	-0.139	-0.0055
Mycoplasma_pneumoniae_DNA_BAV20506.1	-432.6	-0.3492	-0.0461	0.0464
Mycoplasma_pneumoniae_DNA_BAV20610.1	-136.9	-0.3492	-0.1735	0.5953
Mycoplasma_pneumoniae_DNA_BAV20863.1	-317.0	-0.3492	-0.0317	0.2835
Mycoplasma_pneumoniae_DNA_BAV20486.1	-572.7	-0.3492	-0.154	0.1473
Mycoplasma_pneumoniae_DNA_BAV20504.1	-332.1	-0.3492	-0.0386	-0.1885
Mycoplasma_pneumoniae_DNA_BAV20727.1	-389.3	-0.3492	0.0134	-0.2124
Mycoplasma_pneumoniae_DNA_BAV20608.1	-60.1	-0.3492	-0.4539	1.1155
Mycoplasma_pneumoniae_DNA_BAV20803.1	-199.6	-0.3492	-0.1415	0.1383
Mycoplasma_pneumoniae_DNA_BAV20857.1	-488.4	-0.3492	-0.2326	0.1871
Mycoplasma_pneumoniae_DNA_BAV20500.1	-101.5	-0.3492	-0.1968	0.3198
Mycoplasma_pneumoniae_DNA_BAV20801.1	-581.4	-0.3492	-0.1314	0.1353
Mycoplasma_pneumoniae_DNA_BAV20869.1	-136.1	-0.3492	-0.4443	0.4711
Mycoplasma_pneumoniae_DNA_BAV20413.1	-147.5	-0.3492	-0.1989	-0.0448
Mycoplasma_pneumoniae_DNA_BAV20525.1	-228.2	-0.3492	-0.1365	-0.0888
Mycoplasma_pneumoniae_DNA_BAV20534.1	-561.1	-0.3492	-0.1316	0.1867
Mycoplasma_pneumoniae_DNA_BAV20853.1	-230.2	-0.3492	-0.121	0.2542
Mycoplasma_pneumoniae_DNA_BAV20257.1	-87.7	-0.3492	-0.3226	1.2055
Mycoplasma_pneumoniae_DNA_BAV20723.1	-189.4	-0.3492	0.0607	0.3327
Mycoplasma_pneumoniae_DNA_BAV20912.1	-121.2	-0.3492	-0.2707	-0.0494
Mycoplasma_pneumoniae_DNA_BAV20587.1	-269.3	-0.3492	-0.0179	-0.2859
Mycoplasma_pneumoniae_DNA_BAV20805.1	-487.6	-0.3492	-0.1282	-0.0129
Mycoplasma_pneumoniae_DNA_BAV20255.1	-410.4	-0.3492	-0.1435	0.0751
Mycoplasma_pneumoniae_DNA_BAV20721.1	-100.6	-0.3492	-0.3712	-0.1859
Mycoplasma_pneumoniae_DNA_BAV20508.1	-628.5	-0.3492	-0.1805	0.0414
Mycoplasma_pneumoniae_DNA_BAV20625.1	-510.6	-0.3492	-0.1828	-0.0947
Mycoplasma_pneumoniae_DNA_BAV20735.1	-249.4	-0.3492	-0.1527	0.085
Mycoplasma_pneumoniae_DNA_BAV20606.1	-632.5	-0.3492	-0.1548	0.1161
Mycoplasma_pneumoniae_DNA_BAV20549.1	-558.9	-0.3492	-0.1331	-0.1531
Mycoplasma_pneumoniae_DNA_BAV20468.1	-309.6	-0.3492	-0.0171	-0.2772
Mycoplasma_pneumoniae_DNA_BAV20521.1	-149.4	-0.3492	-0.2184	0.3282
Mycoplasma_pneumoniae_DNA_BAV20541.1	-1886.0	-0.3492	-0.1444	0.4448
Mycoplasma_pneumoniae_DNA_BAV20295.1	-106.0	-0.3492	-0.1112	0.3397
Mycoplasma_pneumoniae_DNA_BAV20536.1	-228.4	-0.3492	-0.0716	0.0311
Mycoplasma_pneumoniae_DNA_BAV20843.1	-553.2	-0.3492	-0.1179	0.1829
Mycoplasma_pneumoniae_DNA_BAV20851.1	-593.3	-0.3492	-0.095	-0.0446
Mycoplasma_pneumoniae_DNA_BAV20523.1	-340.7	-0.3492	-0.0473	-0.4167
Mycoplasma_pneumoniae_DNA_BAV20731.1	-180.3	-0.3492	-0.032	-0.1367
Mycoplasma_pneumoniae_DNA_BAV20291.1	-558.5	-0.3492	-0.1534	-0.0179
Mycoplasma_pneumoniae_DNA_BAV20502.1	-291.1	-0.3492	-0.0655	-0.0157
Mycoplasma_pneumoniae_DNA_BAV20845.1	-141.8	-0.3492	0.0441	-0.6523
Mycoplasma_pneumoniae_DNA_BAV20245.1	-691.6	-0.3492	-0.2116	0.3063
Mycoplasma_pneumoniae_DNA_BAV20699.1	-201.1	-0.3492	0.0085	0.3912
Mycoplasma_pneumoniae_DNA_BAV20733.1	-778.3	-0.3492	-0.0973	-0.1012
Mycoplasma_pneumoniae_DNA_BAV20299.1	-117.8	-0.3492	-0.0393	-0.2152
Mycoplasma_pneumoniae_DNA_BAV20494.1	-282.6	-0.3492	-0.1342	0.0853
Mycoplasma_pneumoniae_DNA_BAV20217.1	-295.5	-0.3492	-0.1848	0.0835
Mycoplasma_pneumoniae_DNA_BAV20247.1	-232.1	-0.3492	-0.3075	0.3458
Mycoplasma_pneumoniae_DNA_BAV20528.1	-157.9	-0.3492	-0.2236	0.218
Mycoplasma_pneumoniae_DNA_BAV20636.1	-171.9	-0.3492	-0.2319	0.3945
Mycoplasma_pneumoniae_DNA_BAV20272.1	-134.7	-0.3492	-0.0928	-0.4898
Mycoplasma_pneumoniae_DNA_BAV20491.1	-306.3	-0.3492	-0.1155	0.0973
Mycoplasma_pneumoniae_DNA_BAV20932.1	-458.4	-0.3492	-0.0349	0.1887
Mycoplasma_pneumoniae_DNA_BAV20841.1	-223.8	-0.3492	-0.1974	0.1123
Mycoplasma_pneumoniae_DNA_BAV20492.1	-383.5	-0.3492	-0.08	0.0498
Mycoplasma_pneumoniae_DNA_BAV20390.1	-238.0	-0.3492	-0.1971	0.3371
Mycoplasma_pneumoniae_DNA_BAV20396.1	-153.3	-0.3492	-0.1879	0.5796
Mycoplasma_pneumoniae_DNA_BAV20553.1	-365.7	-0.3492	-0.1032	0.0378
Mycoplasma_pneumoniae_DNA_BAV20930.1	-99.9	-0.3492	-0.0925	0.0423
Mycoplasma_pneumoniae_DNA_BAV20243.1	-128.8	-0.3492	-0.2011	0.0459
Mycoplasma_pneumoniae_DNA_BAV20285.1	-796.8	-0.3492	-0.079	-0.0073
Mycoplasma_pneumoniae_DNA_BAV20605.1	-212.8	-0.3492	0.0482	-0.1031
Mycoplasma_pneumoniae_DNA_BAV20847.1	-615.7	-0.3492	-0.0281	-0.0713
Mycoplasma_pneumoniae_DNA_BAV20543.1	-235.6	-0.3492	-0.1725	0.6729
Mycoplasma_pneumoniae_DNA_BAV20251.1	-494.2	-0.3492	-0.2057	0.4174
Mycoplasma_pneumoniae_DNA_BAV20538.1	-351.0	-0.3492	-0.0381	-0.0817
Mycoplasma_pneumoniae_DNA_BAV20496.1	-522.9	-0.3492	-0.1703	0.3598
Mycoplasma_pneumoniae_DNA_BAV20934.1	-305.4	-0.3492	-0.038	-0.2873
Mycoplasma_pneumoniae_DNA_BAV20374.1	-135.5	-0.3492	-0.2288	0.1043
Mycoplasma_pneumoniae_DNA_BAV20283.1	-643.8	-0.3492	-0.1399	0.1524
Mycoplasma_pneumoniae_DNA_BAV20460.1	-495.0	-0.3492	-0.1213	-0.0232
Mycoplasma_pneumoniae_DNA_BAV20620.1	-122.1	-0.3492	-0.2504	-0.212
Mycoplasma_pneumoniae_DNA_BAV20567.1	-364.6	-0.3492	-0.1265	0.2015
Mycoplasma_pneumoniae_DNA_BAV20940.1	-314.9	-0.3492	-0.1341	-0.3513
Mycoplasma_pneumoniae_DNA_BAV20376.1	-1228.6	-0.3492	-0.1341	0.1224
Mycoplasma_pneumoniae_DNA_BAV20462.1	-256.1	-0.3492	-0.1456	-0.3049
Mycoplasma_pneumoniae_DNA_BAV20559.1	-303.4	-0.3492	-0.188	0.0431
Mycoplasma_pneumoniae_DNA_BAV20392.1	-327.7	-0.3492	-0.2824	0.6302
Mycoplasma_pneumoniae_DNA_BAV20394.1	-212.0	-0.3492	-0.1065	0.2522
Mycoplasma_pneumoniae_DNA_BAV20928.1	-181.2	-0.3492	-0.1306	-0.0049
Mycoplasma_pneumoniae_DNA_BAV20713.1	-244.6	-0.3492	-0.1035	-0.1166
Mycoplasma_pneumoniae_DNA_BAV20287.1	-1595.0	-0.3492	-0.0815	-0.1665
Mycoplasma_pneumoniae_DNA_BAV20563.1	-873.6	-0.3492	-0.2076	0.4339
Mycoplasma_pneumoniae_DNA_BAV20297.1	-100.7	-0.3492	0.1566	-0.2866
Mycoplasma_pneumoniae_DNA_BAV20660.1	-421.7	-0.3492	0.0156	-0.1762
Mycoplasma_pneumoniae_DNA_BAV20547.1	-453.0	-0.3492	-0.1315	0.3334
Mycoplasma_pneumoniae_DNA_BAV20202.1	-378.8	-0.3492	-0.3219	0.9006
Mycoplasma_pneumoniae_DNA_BAV20666.1	-357.3	-0.3492	-0.1561	0.3059
Mycoplasma_pneumoniae_DNA_BAV20920.1	-268.1	-0.3492	0.0169	-0.5122
Mycoplasma_pneumoniae_DNA_BAV20253.1	-71.0	-0.3492	0.0371	-0.712
Mycoplasma_pneumoniae_DNA_BAV20936.1	-134.4	-0.3492	-0.2065	0.4426
Mycoplasma_pneumoniae_DNA_BAV20545.1	-159.4	-0.3492	-0.0416	0.3736
Mycoplasma_pneumoniae_DNA_BAV20281.1	-160.0	-0.3492	-0.165	0.273
Mycoplasma_pneumoniae_DNA_BAV20717.1	-945.0	-0.3492	-0.0323	0.0071
Mycoplasma_pneumoniae_DNA_BAV20668.1	-367.5	-0.3492	-0.3313	0.8696
Mycoplasma_pneumoniae_DNA_BAV20498.1	-83.0	-0.3492	-0.22	-0.1365
Mycoplasma_pneumoniae_DNA_BAV20241.1	-35.8	-0.3492	-0.1259	-2.0186
Mycoplasma_pneumoniae_DNA_BAV20684.1	-242.8	-0.3492	-0.1533	0.3273
Mycoplasma_pneumoniae_DNA_BAV20908.1	-138.0	-0.3492	-0.0868	0.1358
Mycoplasma_pneumoniae_DNA_BAV20450.1	-358.0	-0.3492	-0.1684	-0.0215
Mycoplasma_pneumoniae_DNA_BAV20263.1	-348.4	-0.3492	-0.0955	-0.1573
Mycoplasma_pneumoniae_DNA_BAV20715.1	-269.2	-0.3492	0.0465	-0.2543
Mycoplasma_pneumoniae_DNA_BAV20428.1	-96.5	-0.3492	-0.0239	-0.0226
Mycoplasma_pneumoniae_DNA_BAV20249.1	-614.7	-0.3492	-0.1226	0.1443
Mycoplasma_pneumoniae_DNA_BAV20345.1	-159.7	-0.3492	-0.1754	-0.3719
Mycoplasma_pneumoniae_DNA_BAV20614.1	-309.3	-0.3492	-0.0596	-0.0557
Mycoplasma_pneumoniae_DNA_BAV20686.1	-328.8	-0.3492	0.0367	-0.1123
Mycoplasma_pneumoniae_DNA_BAV20278.1	-314.5	-0.3492	0.0249	0.0026
Mycoplasma_pneumoniae_DNA_BAV20208.1	-289.6	-0.3492	0.0958	-0.0212
Mycoplasma_pneumoniae_DNA_BAV20261.1	-581.3	-0.3492	-0.2655	0.3727
Mycoplasma_pneumoniae_DNA_BAV20691.1	-302.1	-0.3492	-0.2083	0.6943
Mycoplasma_pneumoniae_DNA_BAV20664.1	-1120.7	-0.3492	-0.1035	-0.0691
Mycoplasma_pneumoniae_DNA_BAV20555.1	-790.3	-0.3492	-0.1483	0.2232
Mycoplasma_pneumoniae_DNA_BAV20442.1	-452.5	-0.3492	-0.1952	-0.1084
Mycoplasma_pneumoniae_DNA_BAV20644.1	-836.3	-0.3492	-0.0643	-0.1787
Mycoplasma_pneumoniae_DNA_BAV20618.1	-292.9	-0.3492	-0.1595	-0.3455
Mycoplasma_pneumoniae_DNA_BAV20575.1	-207.3	-0.3492	-0.1878	0.5059
Mycoplasma_pneumoniae_DNA_BAV20848.1	-151.2	-0.3492	-0.1006	-0.4364
Mycoplasma_pneumoniae_DNA_BAV20557.1	-115.8	-0.3492	-0.106	-0.2845
Mycoplasma_pneumoniae_DNA_BAV20662.1	-107.5	-0.3492	-0.0648	-0.0809
Mycoplasma_pneumoniae_DNA_BAV20276.1	-48.3	-0.3492	-0.3382	0.9603
Mycoplasma_pneumoniae_DNA_BAV20646.1	-692.5	-0.3492	0.0767	-0.5263
Mycoplasma_pneumoniae_DNA_BAV20265.1	-362.5	-0.3492	-0.0808	-0.2034
Mycoplasma_pneumoniae_DNA_BAV20864.1	-434.0	-0.3492	-0.1351	0.2031
Mycoplasma_pneumoniae_DNA_BAV20630.1	-201.8	-0.3492	-0.1338	0.1331
Mycoplasma_pneumoniae_DNA_BAV20569.1	-674.3	-0.3492	-0.1624	0.0753
Mycoplasma_pneumoniae_DNA_BAV20372.1	-529.7	-0.3492	-0.0203	0.0211
Mycoplasma_pneumoniae_DNA_BAV20222.1	-1143.1	-0.3492	-0.0506	-0.1061
Mycoplasma_pneumoniae_DNA_BAV20571.1	-564.5	-0.3492	-0.0865	-0.2192
Mycoplasma_pneumoniae_DNA_BAV20642.1	-85.7	-0.3492	-0.0543	-0.4611
Mycoplasma_pneumoniae_DNA_BAV20352.1	-62.8	-0.3492	-0.3066	0.3035
Mycoplasma_pneumoniae_DNA_BAV20678.1	-191.8	-0.3492	-0.1266	-0.1366
Mycoplasma_pneumoniae_DNA_BAV20446.1	-148.6	-0.3492	-0.1491	0.4618
Mycoplasma_pneumoniae_DNA_BAV20725.1	-154.6	-0.3492	-0.0265	0.1492
Mycoplasma_pneumoniae_DNA_BAV20859.1	-240.7	-0.3492	-0.0851	0.1291
Mycoplasma_pneumoniae_DNA_BAV20220.1	-712.4	-0.3492	-0.0996	-0.086
Mycoplasma_pneumoniae_DNA_BAV20350.1	-226.1	-0.3492	0.0052	-0.2459
Mycoplasma_pneumoniae_DNA_BAV20444.1	-472.5	-0.3492	-0.1577	0.295
Mycoplasma_pneumoniae_DNA_BAV20577.1	-107.9	-0.3492	0.0544	0.0241
Mycoplasma_pneumoniae_DNA_BAV20378.1	-105.5	-0.3492	0.0395	-0.0603
Mycoplasma_pneumoniae_DNA_BAV20386.1	-312.8	-0.3492	-0.287	0.4581
Mycoplasma_pneumoniae_DNA_BAV20918.1	-276.4	-0.3492	-0.0541	-0.1957
Mycoplasma_pneumoniae_DNA_BAV20476.1	-307.3	-0.3492	-0.1258	-0.0131
Mycoplasma_pneumoniae_DNA_BAV20224.1	-354.1	-0.3492	-0.0937	0.0468
Mycoplasma_pneumoniae_DNA_BAV20204.1	-726.4	-0.3492	-0.1757	0.306
Mycoplasma_pneumoniae_DNA_BAV20347.1	-97.0	-0.3492	0.061	0.0374
Mycoplasma_pneumoniae_DNA_BAV20380.1	-128.4	-0.3492	-0.2048	0.5201
Mycoplasma_pneumoniae_DNA_BAV20370.1	-266.9	-0.3492	-0.068	-0.4075
Mycoplasma_pneumoniae_DNA_BAV20924.1	-369.2	-0.3492	-0.1783	-0.0652
Mycoplasma_pneumoniae_DNA_BAV20640.1	-207.6	-0.3492	0.0893	-0.3764
Mycoplasma_pneumoniae_DNA_BAV20206.1	-477.4	-0.3492	-0.1082	0.1551
Mycoplasma_pneumoniae_DNA_BAV20895.1	-228.3	-0.3492	-0.1738	-0.1395
Mycoplasma_pneumoniae_DNA_BAV20824.1	-110.5	-0.3492	-0.0652	0.1308
Mycoplasma_pneumoniae_DNA_BAV20682.1	-1474.6	-0.3492	-0.1066	-0.0836
Mycoplasma_pneumoniae_DNA_BAV20274.1	-338.2	-0.3492	-0.2485	0.6179
Mycoplasma_pneumoniae_DNA_BAV20267.1	-96.9	-0.3492	-0.0979	0.376
Mycoplasma_pneumoniae_DNA_BAV20749.1	-524.1	-0.3492	-0.2088	0.3875
Mycoplasma_pneumoniae_DNA_BAV20922.1	-160.1	-0.3492	-0.1319	0.0303
Mycoplasma_pneumoniae_DNA_BAV20638.1	-130.3	-0.3492	-0.0539	0.2877
Mycoplasma_pneumoniae_DNA_BAV20366.1	-456.1	-0.3492	0.0694	-0.6653
Mycoplasma_pneumoniae_DNA_BAV20470.1	-807.6	-0.3492	-0.1315	-0.0727
Mycoplasma_pneumoniae_DNA_BAV20384.1	-447.3	-0.3492	-0.0392	-0.231
Mycoplasma_pneumoniae_DNA_BAV20499.1	-135.6	-0.3492	-0.036	-0.6027
Mycoplasma_pneumoniae_DNA_BAV20737.1	-403.9	-0.3492	0.077	-0.2292
Mycoplasma_pneumoniae_DNA_BAV20560.1	-170.1	-0.3492	-0.1084	0.4442
Mycoplasma_pneumoniae_DNA_BAV20226.1	-136.4	-0.3492	-0.2757	0.9197
Mycoplasma_pneumoniae_DNA_BAV20364.1	-1404.3	-0.3492	-0.0287	-0.2723
Mycoplasma_pneumoniae_DNA_BAV20348.1	-187.6	-0.3492	-0.096	0.0432
Mycoplasma_pneumoniae_DNA_BAV20573.1	-536.3	-0.3492	-0.2412	0.283
Mycoplasma_pneumoniae_DNA_BAV20688.1	-355.3	-0.3492	-0.0699	-0.0917
