Accession	%Both_optimised	%Cost_optimised	%tAI_optimised
Mycoplasma_pneumoniae_DNA_BAV20584.1	65.79	60.06	50.48
Mycoplasma_pneumoniae_DNA_BAV20793.1	53.8	48.68	44.5
Mycoplasma_pneumoniae_DNA_BAV20516.1	51.22	50.7	41.1
Mycoplasma_pneumoniae_DNA_BAV20926.1	62.27	58.68	45.85
Mycoplasma_pneumoniae_DNA_BAV20602.1	53.77	46.07	47.5
Mycoplasma_pneumoniae_DNA_BAV20719.1	73.63	72.26	44.65
Mycoplasma_pneumoniae_DNA_BAV20427.1	47.77	38.65	47.9
Mycoplasma_pneumoniae_DNA_BAV20855.1	55.13	47.86	46.15
Mycoplasma_pneumoniae_DNA_BAV20835.1	57.66	56.7	42.24
Mycoplasma_pneumoniae_DNA_BAV20898.1	54.64	50.97	43.82
Mycoplasma_pneumoniae_DNA_BAV20421.1	60.05	52.97	48.63
Mycoplasma_pneumoniae_DNA_BAV20888.1	50.42	42.77	49.84
Mycoplasma_pneumoniae_DNA_BAV20441.1	51.35	45.24	46.63
Mycoplasma_pneumoniae_DNA_BAV20849.1	57.7	52.15	45.83
Mycoplasma_pneumoniae_DNA_BAV20622.1	54.12	48.99	47.22
Mycoplasma_pneumoniae_DNA_BAV20289.1	54.0	48.52	44.61
Mycoplasma_pneumoniae_DNA_BAV20942.1	62.28	52.52	50.12
Mycoplasma_pneumoniae_DNA_BAV20891.1	63.07	58.88	47.15
Mycoplasma_pneumoniae_DNA_BAV20825.1	58.45	56.39	45.07
Mycoplasma_pneumoniae_DNA_BAV20718.1	49.93	45.16	44.37
Mycoplasma_pneumoniae_DNA_BAV20827.1	58.08	52.89	44.75
Mycoplasma_pneumoniae_DNA_BAV20512.1	54.96	48.55	49.03
Mycoplasma_pneumoniae_DNA_BAV20529.1	54.87	46.9	49.86
Mycoplasma_pneumoniae_DNA_BAV20879.1	58.37	49.86	51.44
Mycoplasma_pneumoniae_DNA_BAV20532.1	58.8	53.49	46.9
Mycoplasma_pneumoniae_DNA_BAV20626.1	66.99	57.84	48.71
Mycoplasma_pneumoniae_DNA_BAV20871.1	57.02	50.17	46.62
Mycoplasma_pneumoniae_DNA_BAV20480.1	51.15	53.82	38.06
Mycoplasma_pneumoniae_DNA_BAV20823.1	58.89	54.52	45.21
Mycoplasma_pneumoniae_DNA_BAV20530.1	59.64	55.65	46.27
Mycoplasma_pneumoniae_DNA_BAV20459.1	61.78	58.21	47.15
Mycoplasma_pneumoniae_DNA_BAV20938.1	59.56	53.92	47.74
Mycoplasma_pneumoniae_DNA_BAV20518.1	57.43	50.0	49.88
Mycoplasma_pneumoniae_DNA_BAV20902.1	62.47	55.82	49.43
Mycoplasma_pneumoniae_DNA_BAV20710.1	51.9	48.33	43.52
Mycoplasma_pneumoniae_DNA_BAV20484.1	56.48	47.81	49.08
Mycoplasma_pneumoniae_DNA_BAV20382.1	50.96	45.9	44.41
Mycoplasma_pneumoniae_DNA_BAV20527.1	68.23	63.71	52.42
Mycoplasma_pneumoniae_DNA_BAV20510.1	62.82	62.02	43.58
Mycoplasma_pneumoniae_DNA_BAV20893.1	60.81	52.63	50.14
Mycoplasma_pneumoniae_DNA_BAV20906.1	57.82	54.01	46.06
Mycoplasma_pneumoniae_DNA_BAV20506.1	56.03	48.02	48.64
Mycoplasma_pneumoniae_DNA_BAV20610.1	62.12	51.32	54.12
Mycoplasma_pneumoniae_DNA_BAV20863.1	55.89	46.8	51.9
Mycoplasma_pneumoniae_DNA_BAV20486.1	60.43	54.43	47.26
Mycoplasma_pneumoniae_DNA_BAV20504.1	54.45	48.83	44.36
Mycoplasma_pneumoniae_DNA_BAV20727.1	53.07	46.19	46.05
Mycoplasma_pneumoniae_DNA_BAV20608.1	70.87	60.87	54.21
Mycoplasma_pneumoniae_DNA_BAV20803.1	59.83	53.45	48.7
Mycoplasma_pneumoniae_DNA_BAV20857.1	62.53	57.78	46.68
Mycoplasma_pneumoniae_DNA_BAV20500.1	62.83	54.3	49.66
Mycoplasma_pneumoniae_DNA_BAV20801.1	59.43	52.17	48.06
Mycoplasma_pneumoniae_DNA_BAV20869.1	70.21	66.89	47.93
Mycoplasma_pneumoniae_DNA_BAV20413.1	60.11	57.05	45.66
Mycoplasma_pneumoniae_DNA_BAV20525.1	57.48	54.12	44.03
Mycoplasma_pneumoniae_DNA_BAV20534.1	59.91	52.7	47.17
Mycoplasma_pneumoniae_DNA_BAV20853.1	59.38	50.38	50.98
Mycoplasma_pneumoniae_DNA_BAV20257.1	71.99	58.51	57.52
Mycoplasma_pneumoniae_DNA_BAV20723.1	54.71	40.11	54.3
Mycoplasma_pneumoniae_DNA_BAV20912.1	61.78	61.81	44.48
Mycoplasma_pneumoniae_DNA_BAV20587.1	53.06	48.5	44.29
Mycoplasma_pneumoniae_DNA_BAV20805.1	58.75	53.69	46.26
Mycoplasma_pneumoniae_DNA_BAV20255.1	59.2	53.16	46.34
Mycoplasma_pneumoniae_DNA_BAV20721.1	65.69	66.84	44.62
Mycoplasma_pneumoniae_DNA_BAV20508.1	60.86	56.95	45.61
Mycoplasma_pneumoniae_DNA_BAV20625.1	58.93	56.51	43.67
Mycoplasma_pneumoniae_DNA_BAV20735.1	59.66	54.15	45.61
Mycoplasma_pneumoniae_DNA_BAV20606.1	60.4	54.45	47.37
Mycoplasma_pneumoniae_DNA_BAV20549.1	57.65	54.63	43.35
Mycoplasma_pneumoniae_DNA_BAV20468.1	52.98	48.81	45.09
Mycoplasma_pneumoniae_DNA_BAV20521.1	62.98	56.29	49.48
Mycoplasma_pneumoniae_DNA_BAV20541.1	61.24	50.59	54.86
Mycoplasma_pneumoniae_DNA_BAV20295.1	60.67	52.28	51.61
Mycoplasma_pneumoniae_DNA_BAV20536.1	58.04	49.56	47.19
Mycoplasma_pneumoniae_DNA_BAV20843.1	59.4	52.2	48.47
Mycoplasma_pneumoniae_DNA_BAV20851.1	57.85	51.85	46.45
Mycoplasma_pneumoniae_DNA_BAV20523.1	52.73	50.38	42.53
Mycoplasma_pneumoniae_DNA_BAV20731.1	54.82	48.19	44.5
Mycoplasma_pneumoniae_DNA_BAV20291.1	59.79	55.34	46.25
Mycoplasma_pneumoniae_DNA_BAV20502.1	56.05	50.61	45.8
Mycoplasma_pneumoniae_DNA_BAV20845.1	49.06	45.95	40.21
Mycoplasma_pneumoniae_DNA_BAV20245.1	62.77	56.26	49.48
Mycoplasma_pneumoniae_DNA_BAV20699.1	56.28	42.69	54.24
Mycoplasma_pneumoniae_DNA_BAV20733.1	57.43	51.99	45.08
Mycoplasma_pneumoniae_DNA_BAV20299.1	52.64	49.17	43.46
Mycoplasma_pneumoniae_DNA_BAV20494.1	59.81	53.05	47.19
Mycoplasma_pneumoniae_DNA_BAV20217.1	58.94	55.77	45.05
Mycoplasma_pneumoniae_DNA_BAV20247.1	65.64	62.05	47.56
Mycoplasma_pneumoniae_DNA_BAV20528.1	62.61	57.19	49.45
Mycoplasma_pneumoniae_DNA_BAV20636.1	63.76	56.88	50.24
Mycoplasma_pneumoniae_DNA_BAV20272.1	53.0	55.56	38.23
Mycoplasma_pneumoniae_DNA_BAV20491.1	58.89	52.01	48.29
Mycoplasma_pneumoniae_DNA_BAV20932.1	55.34	47.79	50.05
Mycoplasma_pneumoniae_DNA_BAV20841.1	60.6	55.58	44.87
Mycoplasma_pneumoniae_DNA_BAV20492.1	57.77	49.23	49.07
Mycoplasma_pneumoniae_DNA_BAV20390.1	62.83	54.09	50.29
Mycoplasma_pneumoniae_DNA_BAV20396.1	64.64	53.16	52.75
Mycoplasma_pneumoniae_DNA_BAV20553.1	58.29	52.26	47.36
Mycoplasma_pneumoniae_DNA_BAV20930.1	57.45	50.81	49.81
Mycoplasma_pneumoniae_DNA_BAV20243.1	65.91	60.0	48.89
Mycoplasma_pneumoniae_DNA_BAV20285.1	57.54	50.32	46.66
Mycoplasma_pneumoniae_DNA_BAV20605.1	53.19	43.72	46.8
Mycoplasma_pneumoniae_DNA_BAV20847.1	54.34	48.69	47.02
Mycoplasma_pneumoniae_DNA_BAV20543.1	65.17	50.0	54.3
Mycoplasma_pneumoniae_DNA_BAV20251.1	63.45	55.06	51.25
Mycoplasma_pneumoniae_DNA_BAV20538.1	56.47	48.24	46.11
Mycoplasma_pneumoniae_DNA_BAV20496.1	62.03	53.51	50.14
Mycoplasma_pneumoniae_DNA_BAV20934.1	53.79	48.61	44.67
Mycoplasma_pneumoniae_DNA_BAV20374.1	62.7	58.27	49.04
Mycoplasma_pneumoniae_DNA_BAV20283.1	60.65	52.97	48.43
Mycoplasma_pneumoniae_DNA_BAV20460.1	59.67	54.0	45.99
Mycoplasma_pneumoniae_DNA_BAV20620.1	59.45	60.34	41.12
Mycoplasma_pneumoniae_DNA_BAV20567.1	59.31	51.42	48.63
Mycoplasma_pneumoniae_DNA_BAV20940.1	55.07	55.12	41.82
Mycoplasma_pneumoniae_DNA_BAV20376.1	59.31	52.95	48.31
Mycoplasma_pneumoniae_DNA_BAV20462.1	54.91	54.96	43.08
Mycoplasma_pneumoniae_DNA_BAV20559.1	60.13	56.58	45.26
Mycoplasma_pneumoniae_DNA_BAV20392.1	68.42	58.93	51.94
Mycoplasma_pneumoniae_DNA_BAV20394.1	60.79	50.35	49.67
Mycoplasma_pneumoniae_DNA_BAV20928.1	57.57	53.52	45.57
Mycoplasma_pneumoniae_DNA_BAV20713.1	56.51	52.3	44.83
Mycoplasma_pneumoniae_DNA_BAV20287.1	56.44	51.96	44.69
Mycoplasma_pneumoniae_DNA_BAV20563.1	64.09	55.45	51.15
Mycoplasma_pneumoniae_DNA_BAV20297.1	45.9	39.81	46.01
Mycoplasma_pneumoniae_DNA_BAV20660.1	52.49	45.9	46.34
Mycoplasma_pneumoniae_DNA_BAV20547.1	60.15	52.06	49.82
Mycoplasma_pneumoniae_DNA_BAV20202.1	70.06	59.12	54.99
Mycoplasma_pneumoniae_DNA_BAV20666.1	62.16	52.68	49.9
Mycoplasma_pneumoniae_DNA_BAV20920.1	49.73	48.78	39.26
Mycoplasma_pneumoniae_DNA_BAV20253.1	45.76	47.3	39.23
Mycoplasma_pneumoniae_DNA_BAV20936.1	62.9	53.64	50.84
Mycoplasma_pneumoniae_DNA_BAV20545.1	56.63	46.05	52.69
Mycoplasma_pneumoniae_DNA_BAV20281.1	61.26	54.13	50.16
Mycoplasma_pneumoniae_DNA_BAV20717.1	55.38	47.61	47.34
Mycoplasma_pneumoniae_DNA_BAV20668.1	69.29	58.66	52.16
Mycoplasma_pneumoniae_DNA_BAV20498.1	61.54	59.22	44.91
Mycoplasma_pneumoniae_DNA_BAV20241.1	43.33	56.04	25.78
Mycoplasma_pneumoniae_DNA_BAV20684.1	61.59	52.43	51.73
Mycoplasma_pneumoniae_DNA_BAV20908.1	58.04	50.18	49.94
Mycoplasma_pneumoniae_DNA_BAV20450.1	60.02	55.24	46.94
Mycoplasma_pneumoniae_DNA_BAV20263.1	56.55	52.43	44.04
Mycoplasma_pneumoniae_DNA_BAV20715.1	50.95	44.92	45.32
Mycoplasma_pneumoniae_DNA_BAV20428.1	54.26	46.37	49.07
Mycoplasma_pneumoniae_DNA_BAV20249.1	59.38	51.43	48.55
Mycoplasma_pneumoniae_DNA_BAV20345.1	55.9	57.63	40.27
Mycoplasma_pneumoniae_DNA_BAV20614.1	56.26	50.0	46.65
Mycoplasma_pneumoniae_DNA_BAV20686.1	51.97	44.14	46.93
Mycoplasma_pneumoniae_DNA_BAV20278.1	53.91	44.65	48.89
Mycoplasma_pneumoniae_DNA_BAV20208.1	50.25	40.57	50.14
Mycoplasma_pneumoniae_DNA_BAV20261.1	63.64	57.63	50.01
Mycoplasma_pneumoniae_DNA_BAV20691.1	67.63	51.21	54.44
Mycoplasma_pneumoniae_DNA_BAV20664.1	57.46	51.96	47.03
Mycoplasma_pneumoniae_DNA_BAV20555.1	61.12	53.58	48.64
Mycoplasma_pneumoniae_DNA_BAV20442.1	60.48	57.87	43.81
Mycoplasma_pneumoniae_DNA_BAV20644.1	55.38	51.39	44.64
Mycoplasma_pneumoniae_DNA_BAV20618.1	56.29	57.22	40.74
Mycoplasma_pneumoniae_DNA_BAV20575.1	63.02	52.78	53.43
Mycoplasma_pneumoniae_DNA_BAV20848.1	53.18	53.02	41.8
Mycoplasma_pneumoniae_DNA_BAV20557.1	55.64	53.85	42.5
Mycoplasma_pneumoniae_DNA_BAV20662.1	54.65	49.43	48.21
Mycoplasma_pneumoniae_DNA_BAV20276.1	69.62	60.64	53.95
Mycoplasma_pneumoniae_DNA_BAV20646.1	48.57	43.9	43.41
Mycoplasma_pneumoniae_DNA_BAV20265.1	55.92	51.61	44.61
Mycoplasma_pneumoniae_DNA_BAV20864.1	59.82	53.49	48.15
Mycoplasma_pneumoniae_DNA_BAV20630.1	59.38	51.56	48.42
Mycoplasma_pneumoniae_DNA_BAV20569.1	59.91	56.05	46.52
Mycoplasma_pneumoniae_DNA_BAV20372.1	55.15	47.13	49.38
Mycoplasma_pneumoniae_DNA_BAV20222.1	55.0	49.8	45.86
Mycoplasma_pneumoniae_DNA_BAV20571.1	55.41	52.04	43.9
Mycoplasma_pneumoniae_DNA_BAV20642.1	50.67	50.99	42.14
Mycoplasma_pneumoniae_DNA_BAV20352.1	62.99	60.5	46.03
Mycoplasma_pneumoniae_DNA_BAV20678.1	58.01	54.23	44.64
Mycoplasma_pneumoniae_DNA_BAV20446.1	62.87	50.95	50.91
Mycoplasma_pneumoniae_DNA_BAV20725.1	56.32	46.62	51.35
Mycoplasma_pneumoniae_DNA_BAV20859.1	57.17	51.25	48.18
Mycoplasma_pneumoniae_DNA_BAV20220.1	57.51	52.7	45.0
Mycoplasma_pneumoniae_DNA_BAV20350.1	53.38	47.45	46.18
Mycoplasma_pneumoniae_DNA_BAV20444.1	61.46	53.31	48.38
Mycoplasma_pneumoniae_DNA_BAV20577.1	50.85	44.93	47.46
Mycoplasma_pneumoniae_DNA_BAV20378.1	52.04	42.03	50.46
Mycoplasma_pneumoniae_DNA_BAV20386.1	66.21	58.77	49.41
Mycoplasma_pneumoniae_DNA_BAV20918.1	55.0	50.19	44.82
Mycoplasma_pneumoniae_DNA_BAV20476.1	58.42	53.18	46.39
Mycoplasma_pneumoniae_DNA_BAV20224.1	58.15	49.7	48.38
Mycoplasma_pneumoniae_DNA_BAV20204.1	62.71	54.53	49.82
Mycoplasma_pneumoniae_DNA_BAV20347.1	51.33	42.72	50.61
Mycoplasma_pneumoniae_DNA_BAV20380.1	63.8	54.76	50.28
Mycoplasma_pneumoniae_DNA_BAV20370.1	54.25	53.17	42.07
Mycoplasma_pneumoniae_DNA_BAV20924.1	58.95	56.18	43.89
Mycoplasma_pneumoniae_DNA_BAV20640.1	48.19	43.73	44.51
Mycoplasma_pneumoniae_DNA_BAV20206.1	59.01	49.88	49.84
Mycoplasma_pneumoniae_DNA_BAV20895.1	59.42	56.76	45.18
Mycoplasma_pneumoniae_DNA_BAV20824.1	56.64	48.86	49.26
Mycoplasma_pneumoniae_DNA_BAV20682.1	58.6	53.5	45.8
Mycoplasma_pneumoniae_DNA_BAV20274.1	65.52	56.07	52.45
Mycoplasma_pneumoniae_DNA_BAV20267.1	60.0	48.65	48.61
Mycoplasma_pneumoniae_DNA_BAV20749.1	63.24	55.1	50.5
Mycoplasma_pneumoniae_DNA_BAV20922.1	60.25	52.37	46.62
Mycoplasma_pneumoniae_DNA_BAV20638.1	56.46	50.64	50.06
Mycoplasma_pneumoniae_DNA_BAV20366.1	47.87	44.55	41.47
Mycoplasma_pneumoniae_DNA_BAV20470.1	57.67	53.66	44.87
Mycoplasma_pneumoniae_DNA_BAV20384.1	54.68	49.26	44.44
Mycoplasma_pneumoniae_DNA_BAV20499.1	50.8	52.14	40.11
Mycoplasma_pneumoniae_DNA_BAV20737.1	49.71	41.97	47.66
Mycoplasma_pneumoniae_DNA_BAV20560.1	59.21	49.35	53.72
Mycoplasma_pneumoniae_DNA_BAV20226.1	67.73	56.6	56.57
Mycoplasma_pneumoniae_DNA_BAV20364.1	54.85	49.08	44.52
Mycoplasma_pneumoniae_DNA_BAV20348.1	59.85	51.59	49.17
Mycoplasma_pneumoniae_DNA_BAV20573.1	63.78	58.83	47.85
Mycoplasma_pneumoniae_DNA_BAV20688.1	55.65	49.45	45.6
Mycoplasma_pneumoniae_DNA_BAV20676.1	57.73	55.65	43.9
Mycoplasma_pneumoniae_DNA_BAV20270.1	60.8	59.05	43.94
Mycoplasma_pneumoniae_DNA_BAV20338.1	60.12	52.17	47.34
Mycoplasma_pneumoniae_DNA_BAV20269.1	60.54	53.24	48.39
Mycoplasma_pneumoniae_DNA_BAV20701.1	62.86	51.03	54.14
Mycoplasma_pneumoniae_DNA_BAV20632.1	59.2	54.1	47.56
Mycoplasma_pneumoniae_DNA_BAV20572.1	57.8	57.3	43.13
Mycoplasma_pneumoniae_DNA_BAV20218.1	58.71	54.66	45.73
Mycoplasma_pneumoniae_DNA_BAV20579.1	55.83	51.03	48.08
Mycoplasma_pneumoniae_DNA_BAV20210.1	54.48	45.47	48.4
Mycoplasma_pneumoniae_DNA_BAV20703.1	56.35	56.24	41.7
Mycoplasma_pneumoniae_DNA_BAV20670.1	53.75	48.81	44.59
Mycoplasma_pneumoniae_DNA_BAV20680.1	55.55	53.29	43.57
Mycoplasma_pneumoniae_DNA_BAV20360.1	45.59	44.74	40.97
Mycoplasma_pneumoniae_DNA_BAV20634.1	61.33	58.64	44.94
Mycoplasma_pneumoniae_DNA_BAV20882.1	62.06	52.52	50.21
Mycoplasma_pneumoniae_DNA_BAV20354.1	47.82	43.81	42.81
Mycoplasma_pneumoniae_DNA_BAV20707.1	66.58	57.55	51.12
Mycoplasma_pneumoniae_DNA_BAV20696.1	50.52	48.41	40.75
Mycoplasma_pneumoniae_DNA_BAV20583.1	58.27	51.06	47.37
Mycoplasma_pneumoniae_DNA_BAV20466.1	67.48	61.49	50.04
Mycoplasma_pneumoniae_DNA_BAV20674.1	59.05	51.26	49.25
Mycoplasma_pneumoniae_DNA_BAV20694.1	60.31	52.24	49.39
Mycoplasma_pneumoniae_DNA_BAV20581.1	55.12	54.18	41.31
Mycoplasma_pneumoniae_DNA_BAV20368.1	56.79	50.25	48.06
Mycoplasma_pneumoniae_DNA_BAV20358.1	55.53	47.73	47.18
Mycoplasma_pneumoniae_DNA_BAV20672.1	67.33	58.14	51.87
Mycoplasma_pneumoniae_DNA_BAV20595.1	62.98	56.42	48.44
Mycoplasma_pneumoniae_DNA_BAV20615.1	61.41	59.39	44.39
Mycoplasma_pneumoniae_DNA_BAV20329.1	60.99	57.51	46.03
Mycoplasma_pneumoniae_DNA_BAV20892.1	56.05	50.0	47.6
Mycoplasma_pneumoniae_DNA_BAV20747.1	60.45	54.43	47.77
Mycoplasma_pneumoniae_DNA_BAV20886.1	60.82	56.08	47.36
Mycoplasma_pneumoniae_DNA_BAV20728.1	58.69	53.76	45.85
Mycoplasma_pneumoniae_DNA_BAV20741.1	53.57	51.58	41.76
Mycoplasma_pneumoniae_DNA_BAV20356.1	54.82	51.26	44.53
Mycoplasma_pneumoniae_DNA_BAV20759.1	49.75	47.03	44.54
Mycoplasma_pneumoniae_DNA_BAV20656.1	54.51	46.38	47.67
Mycoplasma_pneumoniae_DNA_BAV20705.1	52.45	46.32	45.07
Mycoplasma_pneumoniae_DNA_BAV20343.1	59.7	52.35	48.64
Mycoplasma_pneumoniae_DNA_BAV20591.1	56.15	51.94	45.57
Mycoplasma_pneumoniae_DNA_BAV20212.1	62.15	59.13	45.8
Mycoplasma_pneumoniae_DNA_BAV20889.1	58.76	46.47	53.58
Mycoplasma_pneumoniae_DNA_BAV20362.1	58.65	50.45	48.89
Mycoplasma_pneumoniae_DNA_BAV20650.1	55.57	51.05	44.61
Mycoplasma_pneumoniae_DNA_BAV20593.1	60.05	55.57	47.26
Mycoplasma_pneumoniae_DNA_BAV20711.1	57.87	43.71	54.75
Mycoplasma_pneumoniae_DNA_BAV20890.1	60.36	55.95	44.93
Mycoplasma_pneumoniae_DNA_BAV20341.1	60.73	56.32	47.16
Mycoplasma_pneumoniae_DNA_BAV20745.1	61.84	55.1	48.55
Mycoplasma_pneumoniae_DNA_BAV20698.1	54.62	52.0	42.86
Mycoplasma_pneumoniae_DNA_BAV20743.1	60.9	58.82	48.2
Mycoplasma_pneumoniae_DNA_BAV20216.1	63.49	51.9	54.36
Mycoplasma_pneumoniae_DNA_BAV20822.1	60.18	58.31	44.13
Mycoplasma_pneumoniae_DNA_BAV20321.1	61.6	56.85	46.33
Mycoplasma_pneumoniae_DNA_BAV20654.1	64.87	59.47	48.72
Mycoplasma_pneumoniae_DNA_BAV20232.1	53.23	42.22	50.29
Mycoplasma_pneumoniae_DNA_BAV20910.1	54.65	49.31	44.86
Mycoplasma_pneumoniae_DNA_BAV20214.1	54.71	54.31	41.92
Mycoplasma_pneumoniae_DNA_BAV20880.1	58.59	52.66	46.76
Mycoplasma_pneumoniae_DNA_BAV20333.1	55.04	48.5	46.32
Mycoplasma_pneumoniae_DNA_BAV20765.1	62.34	56.47	46.82
Mycoplasma_pneumoniae_DNA_BAV20757.1	65.11	57.48	50.31
Mycoplasma_pneumoniae_DNA_BAV20346.1	66.55	64.64	48.07
Mycoplasma_pneumoniae_DNA_BAV20652.1	52.28	48.82	41.83
Mycoplasma_pneumoniae_DNA_BAV20776.1	57.89	53.27	45.52
Mycoplasma_pneumoniae_DNA_BAV20323.1	62.2	56.18	48.74
Mycoplasma_pneumoniae_DNA_BAV20305.1	43.58	44.13	37.4
Mycoplasma_pneumoniae_DNA_BAV20236.1	56.48	53.53	44.35
Mycoplasma_pneumoniae_DNA_BAV20761.1	53.36	49.24	44.54
Mycoplasma_pneumoniae_DNA_BAV20692.1	64.5	54.24	50.57
Mycoplasma_pneumoniae_DNA_BAV20440.1	64.27	54.4	51.48
Mycoplasma_pneumoniae_DNA_BAV20753.1	62.96	53.96	52.53
Mycoplasma_pneumoniae_DNA_BAV20464.1	59.61	52.9	47.54
Mycoplasma_pneumoniae_DNA_BAV20307.1	62.12	59.29	47.14
Mycoplasma_pneumoniae_DNA_BAV20820.1	63.13	54.01	49.76
Mycoplasma_pneumoniae_DNA_BAV20914.1	65.51	57.81	50.35
Mycoplasma_pneumoniae_DNA_BAV20339.1	64.18	52.44	53.88
Mycoplasma_pneumoniae_DNA_BAV20860.1	63.52	59.33	47.76
Mycoplasma_pneumoniae_DNA_BAV20755.1	54.93	47.64	48.35
Mycoplasma_pneumoniae_DNA_BAV20726.1	53.42	48.27	45.11
Mycoplasma_pneumoniae_DNA_BAV20303.1	53.33	41.51	47.71
Mycoplasma_pneumoniae_DNA_BAV20400.1	68.38	53.99	55.77
Mycoplasma_pneumoniae_DNA_BAV20327.1	57.45	53.97	46.13
Mycoplasma_pneumoniae_DNA_BAV20406.1	67.35	59.02	51.42
Mycoplasma_pneumoniae_DNA_BAV20775.1	63.67	57.56	49.4
Mycoplasma_pneumoniae_DNA_BAV20763.1	56.14	49.07	48.05
Mycoplasma_pneumoniae_DNA_BAV20897.1	57.48	51.71	46.06
Mycoplasma_pneumoniae_DNA_BAV20325.1	57.09	57.78	40.67
Mycoplasma_pneumoniae_DNA_BAV20408.1	58.16	52.73	45.38
Mycoplasma_pneumoniae_DNA_BAV20331.1	59.73	53.2	47.38
Mycoplasma_pneumoniae_DNA_BAV20773.1	62.09	48.41	55.32
Mycoplasma_pneumoniae_DNA_BAV20458.1	57.48	47.48	50.9
Mycoplasma_pneumoniae_DNA_BAV20259.1	61.6	60.23	44.05
Mycoplasma_pneumoniae_DNA_BAV20239.1	56.86	57.04	40.9
Mycoplasma_pneumoniae_DNA_BAV20474.1	53.88	50.53	43.53
Mycoplasma_pneumoniae_DNA_BAV20313.1	50.14	45.4	43.2
Mycoplasma_pneumoniae_DNA_BAV20301.1	58.24	52.06	45.99
Mycoplasma_pneumoniae_DNA_BAV20866.1	60.65	55.49	46.69
Mycoplasma_pneumoniae_DNA_BAV20402.1	60.41	49.34	50.48
Mycoplasma_pneumoniae_DNA_BAV20404.1	60.97	56.27	47.07
Mycoplasma_pneumoniae_DNA_BAV20335.1	68.21	56.39	54.82
Mycoplasma_pneumoniae_DNA_BAV20804.1	52.31	45.18	46.89
Mycoplasma_pneumoniae_DNA_BAV20814.1	56.01	54.03	43.95
Mycoplasma_pneumoniae_DNA_BAV20424.1	62.91	58.93	46.45
Mycoplasma_pneumoniae_DNA_BAV20478.1	57.85	49.4	49.07
Mycoplasma_pneumoniae_DNA_BAV20315.1	64.21	54.22	53.24
Mycoplasma_pneumoniae_DNA_BAV20916.1	63.14	55.45	50.24
Mycoplasma_pneumoniae_DNA_BAV20337.1	55.39	45.84	49.75
Mycoplasma_pneumoniae_DNA_BAV20426.1	53.24	46.09	46.95
Mycoplasma_pneumoniae_DNA_BAV20771.1	65.62	57.23	51.64
Mycoplasma_pneumoniae_DNA_BAV20838.1	56.09	54.1	43.23
Mycoplasma_pneumoniae_DNA_BAV20808.1	59.2	55.18	45.86
Mycoplasma_pneumoniae_DNA_BAV20810.1	61.27	55.41	46.99
Mycoplasma_pneumoniae_DNA_BAV20309.1	53.62	46.08	45.21
Mycoplasma_pneumoniae_DNA_BAV20311.1	58.29	57.49	41.03
Mycoplasma_pneumoniae_DNA_BAV20422.1	54.24	50.57	43.72
Mycoplasma_pneumoniae_DNA_BAV20240.1	61.2	51.08	54.06
Mycoplasma_pneumoniae_DNA_BAV20418.1	60.26	54.15	47.67
Mycoplasma_pneumoniae_DNA_BAV20812.1	57.78	50.0	48.98
Mycoplasma_pneumoniae_DNA_BAV20585.1	54.09	48.28	45.58
Mycoplasma_pneumoniae_DNA_BAV20617.1	63.32	57.89	47.99
Mycoplasma_pneumoniae_DNA_BAV20806.1	58.06	53.9	46.32
Mycoplasma_pneumoniae_DNA_BAV20412.1	64.78	49.3	58.27
Mycoplasma_pneumoniae_DNA_BAV20788.1	60.47	54.99	47.63
Mycoplasma_pneumoniae_DNA_BAV20791.1	61.89	55.74	47.44
Mycoplasma_pneumoniae_DNA_BAV20609.1	59.74	48.53	53.77
Mycoplasma_pneumoniae_DNA_BAV20317.1	48.85	44.09	43.11
Mycoplasma_pneumoniae_DNA_BAV20884.1	61.12	48.97	53.33
Mycoplasma_pneumoniae_DNA_BAV20293.1	61.42	58.77	45.37
Mycoplasma_pneumoniae_DNA_BAV20832.1	58.42	57.42	43.65
Mycoplasma_pneumoniae_DNA_BAV20777.1	60.23	53.97	46.97
Mycoplasma_pneumoniae_DNA_BAV20588.1	55.68	49.42	46.58
Mycoplasma_pneumoniae_DNA_BAV20786.1	74.33	66.32	52.82
Mycoplasma_pneumoniae_DNA_BAV20795.1	55.96	52.65	44.2
Mycoplasma_pneumoniae_DNA_BAV20658.1	51.66	44.62	47.16
Mycoplasma_pneumoniae_DNA_BAV20599.1	52.21	45.19	44.92
Mycoplasma_pneumoniae_DNA_BAV20420.1	59.05	50.0	48.33
Mycoplasma_pneumoniae_DNA_BAV20885.1	57.01	52.86	43.81
Mycoplasma_pneumoniae_DNA_BAV20837.1	58.65	53.78	45.95
Mycoplasma_pneumoniae_DNA_BAV20456.1	58.14	58.38	41.76
Mycoplasma_pneumoniae_DNA_BAV20488.1	58.06	54.28	45.9
Mycoplasma_pneumoniae_DNA_BAV20597.1	60.28	53.47	47.81
Mycoplasma_pneumoniae_DNA_BAV20389.1	62.79	52.17	50.79
Mycoplasma_pneumoniae_DNA_BAV20234.1	51.15	43.24	46.44
Mycoplasma_pneumoniae_DNA_BAV20398.1	61.67	51.89	50.5
Mycoplasma_pneumoniae_DNA_BAV20416.1	58.5	55.56	44.53
Mycoplasma_pneumoniae_DNA_BAV20288.1	58.96	55.93	45.19
